SCHOOL,ID,LONGITUD,LATITUDE,Year,Round,Is_Center
Louisiana-Monroe,159993,-92.07374,32.527747999999995,1986,All,N
Utah,230764,-111.84604399999999,40.762484,1986,All,N
Drexel,212054,-75.190051,39.955217,1986,All,N
Montana State,180179,-108.523009,45.796896000000004,1986,All,N
Kansas,155317,-95.247567,38.958549,1986,All,N
Michigan,170976,-83.742769,42.275921000000004,1986,All,N
Notre Dame,152080,-86.238959,41.703058,1986,All,N
Georgetown,131496,-77.073463,38.908809000000005,1986,All,N
Michigan State,171100,-84.476111,42.73212,1986,All,N
NC State,199193,-78.67451700000001,35.785111,1986,All,N
Iowa State,153603,-93.648504,42.026212,1986,All,N
Jacksonville,134945,-81.60458,30.353227,1986,All,N
Temple,216339,-75.156859,39.980546000000004,1986,All,N
Miami (OH),204024,-84.732954,39.507757,1986,All,N
Iowa,153658,-91.536425,41.661935,1986,All,N
Washington,236948,-122.30514,47.65538,1986,All,N
Texas Tech,229115,-101.874783,33.583448,1986,All,N
Arkansas-Little Rock,106245,-92.33977800000001,34.723254,1986,All,N
Akron,200800,-81.511679,41.078551000000004,1986,All,N
North Carolina A&T,199102,-79.773375,36.07282,1986,All,N
Kentucky,157085,-84.504747,38.038911,1986,All,N
Georgia Tech,139755,-84.394832,33.772420000000004,1986,All,N
Memphis,220862,-89.938068,35.118878,1986,All,N
Illinois,145637,-88.229114,40.104718,1986,All,N
Alabama,100751,-87.545978,33.211875,1986,All,N
Purdue,243780,-86.914435,40.428206,1986,All,N
Virginia Tech,233921,-80.423675,37.229012,1986,All,N
Western Kentucky,157951,-86.456828,36.985034999999996,1986,All,N
Nebraska,181464,-96.700508,40.817598,1986,All,N
Villanova,216597,-75.345457,40.039388,1986,All,N
LSU,159391,-91.178921,30.414986,1986,All,N
Xavier,206622,-84.47465,39.149547,1986,All,N
Fairfield,129242,-73.255903,41.157672999999996,1986,All,N
Ball State,150136,-85.40904300000001,40.203431,1986,All,N
Marist,192819,-73.935484,41.720937,1986,All,N
Davidson,198385,-80.843979,35.499767,1986,All,N
Duke,198419,-78.937624,36.001135,1986,All,N
Syracuse,196413,-76.136975,43.040176,1986,All,N
Indiana,151351,-86.52655899999999,39.166090000000004,1986,All,N
Oklahoma,207500,-97.444211,35.209407,1986,All,N
Virginia,234076,-78.503428,38.035665,1986,All,N
Saint Joseph's,215770,-75.238343,39.994442,1986,All,N
Navy,164155,-76.48169200000001,38.980507,1986,All,N
Old Dominion,232982,-76.30666,36.886418,1986,All,N
West Virginia,238032,-79.954391,39.634371,1986,All,N
Tulsa,207971,-95.945941,36.152324,1986,All,N
Richmond,233374,-77.53880600000001,37.577393,1986,All,N
DePaul,144740,-87.62724,41.877618,1986,All,N
Northeastern,167358,-71.088782,42.339991999999995,1986,All,N
Cleveland State,202134,-81.674355,41.502280999999996,1986,All,N
Brown,217156,-71.40385,41.82617,1986,All,N
Mississippi Valley State,176044,-90.341274,33.514142,1986,All,N
Centroid,0,-87.02121797,38.20957538,1986,All,Y
Duke,198419,-78.937624,36.001135,1986,Sweet 16,N
DePaul,144740,-87.62724,41.877618,1986,Sweet 16,N
Navy,164155,-76.48169200000001,38.980507,1986,Sweet 16,N
Cleveland State,202134,-81.674355,41.502280999999996,1986,Sweet 16,N
Kansas,155317,-95.247567,38.958549,1986,Sweet 16,N
Michigan State,171100,-84.476111,42.73212,1986,Sweet 16,N
NC State,199193,-78.67451700000001,35.785111,1986,Sweet 16,N
Iowa State,153603,-93.648504,42.026212,1986,Sweet 16,N
Kentucky,157085,-84.504747,38.038911,1986,Sweet 16,N
Alabama,100751,-87.545978,33.211875,1986,Sweet 16,N
LSU,159391,-91.178921,30.414986,1986,Sweet 16,N
Georgia Tech,139755,-84.394832,33.772420000000004,1986,Sweet 16,N
Auburn,100858,-85.488258,32.599378,1986,Sweet 16,N
UNLV,182281,-115.138462,36.106047,1986,Sweet 16,N
Louisville,157289,-85.760412,38.216862,1986,Sweet 16,N
North Carolina,199120,-79.050969,35.911769,1986,Sweet 16,N
Centroid,0,-86.86438681,37.25848631,1986,Sweet 16,Y
Duke,198419,-78.937624,36.001135,1986,Elite 8,N
Navy,164155,-76.48169200000001,38.980507,1986,Elite 8,N
Kansas,155317,-95.247567,38.958549,1986,Elite 8,N
NC State,199193,-78.67451700000001,35.785111,1986,Elite 8,N
Kentucky,157085,-84.504747,38.038911,1986,Elite 8,N
LSU,159391,-91.178921,30.414986,1986,Elite 8,N
Auburn,100858,-85.488258,32.599378,1986,Elite 8,N
Louisville,157289,-85.760412,38.216862,1986,Elite 8,N
Centroid,0,-84.53421725,36.12442988,1986,Elite 8,Y
Duke,198419,-78.937624,36.001135,1986,Final 4,N
Kansas,155317,-95.247567,38.958549,1986,Final 4,N
LSU,159391,-91.178921,30.414986,1986,Final 4,N
Louisville,157289,-85.760412,38.216862,1986,Final 4,N
Centroid,0,-87.781131,35.897883,1986,Final 4,Y
North Carolina,199120,-79.050969,35.911769,1987,All,N
Syracuse,196413,-76.136975,43.040176,1987,All,N
Purdue,243780,-86.914435,40.428206,1987,All,N
TCU,228875,-97.364758,32.70961,1987,All,N
Notre Dame,152080,-86.238959,41.703058,1987,All,N
Florida,134130,-82.347911,29.646290000000004,1987,All,N
West Virginia,238032,-79.954391,39.634371,1987,All,N
Navy,164155,-76.48169200000001,38.980507,1987,All,N
Michigan,170976,-83.742769,42.275921000000004,1987,All,N
Western Kentucky,157951,-86.456828,36.985034999999996,1987,All,N
NC State,199193,-78.67451700000001,35.785111,1987,All,N
Middle Tennessee State,220978,-86.360618,35.848005,1987,All,N
Marshall,237525,-82.42896400000001,38.422482,1987,All,N
Northeastern,167358,-71.088782,42.339991999999995,1987,All,N
Georgia Southern,139931,-81.78404499999999,32.426153,1987,All,N
Penn,215062,-75.19391,39.950928999999995,1987,All,N
Indiana,151351,-86.52655899999999,39.166090000000004,1987,All,N
Temple,216339,-75.156859,39.980546000000004,1987,All,N
DePaul,144740,-87.62724,41.877618,1987,All,N
Missouri,178396,-92.328843,38.94531,1987,All,N
Duke,198419,-78.937624,36.001135,1987,All,N
St. John's,195809,-73.796104,40.722522999999995,1987,All,N
Georgia Tech,139755,-84.394832,33.772420000000004,1987,All,N
Auburn,100858,-85.488258,32.599378,1987,All,N
San Diego,122436,-117.192073,32.770815999999996,1987,All,N
LSU,159391,-91.178921,30.414986,1987,All,N
Wichita State,156125,-97.292361,37.718882,1987,All,N
Texas A&M,228723,-96.336475,30.618726000000002,1987,All,N
Xavier,206622,-84.47465,39.149547,1987,All,N
Louisiana Tech,159647,-92.649963,32.528296999999995,1987,All,N
Southern,160621,-91.190105,30.524558000000003,1987,All,N
Fairfield,129242,-73.255903,41.157672999999996,1987,All,N
Georgetown,131496,-77.073463,38.908809000000005,1987,All,N
Alabama,100751,-87.545978,33.211875,1987,All,N
Illinois,145637,-88.229114,40.104718,1987,All,N
Clemson,217882,-82.835114,34.679381,1987,All,N
Kansas,155317,-95.247567,38.958549,1987,All,N
Providence,217402,-71.437446,41.842742,1987,All,N
New Orleans,159939,-90.067142,30.027703999999996,1987,All,N
Kentucky,157085,-84.504747,38.038911,1987,All,N
Ohio State,204796,-83.014853,39.999324,1987,All,N
BYU,230038,-111.649281,40.250851000000004,1987,All,N
UAB,100663,-86.799345,33.505697,1987,All,N
Houston,225511,-95.343537,29.720392999999998,1987,All,N
Missouri State,179566,-93.281281,37.199258,1987,All,N
Austin Peay,219602,-87.35408100000001,36.533319,1987,All,N
North Carolina A&T,199102,-79.773375,36.07282,1987,All,N
Bucknell,211291,-76.882616,40.954316999999996,1987,All,N
UNLV,182281,-115.138462,36.106047,1987,All,N
Iowa,153658,-91.536425,41.661935,1987,All,N
Pittsburgh,215293,-79.953254,40.444388000000004,1987,All,N
UCLA,110662,-118.44217900000001,34.07178,1987,All,N
Virginia,234076,-78.503428,38.035665,1987,All,N
Oklahoma,207500,-97.444211,35.209407,1987,All,N
UTEP,228796,-106.504098,31.77015,1987,All,N
Georgia,139959,-83.374039,33.956262,1987,All,N
Kansas State,155399,-96.58107700000001,39.188648,1987,All,N
Arizona,104179,-110.95081499999999,32.232671999999994,1987,All,N
Tulsa,207971,-95.945941,36.152324,1987,All,N
Wyoming,240727,-105.57931,41.311772999999995,1987,All,N
Central Michigan,169248,-84.77525,43.591203,1987,All,N
Marist,192819,-73.935484,41.720937,1987,All,N
Santa Clara,122931,-121.93784,37.348362,1987,All,N
Idaho State,142276,-112.43231200000001,42.863832,1987,All,N
Centroid,0,-88.78313059,37.18297145,1987,All,Y
North Carolina,199120,-79.050969,35.911769,1987,Sweet 16,N
Notre Dame,152080,-86.238959,41.703058,1987,Sweet 16,N
Syracuse,196413,-76.136975,43.040176,1987,Sweet 16,N
Florida,134130,-82.347911,29.646290000000004,1987,Sweet 16,N
Georgetown,131496,-77.073463,38.908809000000005,1987,Sweet 16,N
Kansas,155317,-95.247567,38.958549,1987,Sweet 16,N
Providence,217402,-71.437446,41.842742,1987,Sweet 16,N
Alabama,100751,-87.545978,33.211875,1987,Sweet 16,N
Indiana,151351,-86.52655899999999,39.166090000000004,1987,Sweet 16,N
Duke,198419,-78.937624,36.001135,1987,Sweet 16,N
